scen,num_agents,solver,LoS,solved,comp_time,ftime,map_size,resolution
4,200,Theta*,False,True,8273.79,31459.82,"(16000, 16000, 150)",1600.0
0,200,Theta*,False,True,8764.45,31675.92,"(16000, 16000, 150)",1600.0
3,200,Theta*,False,True,10142.63,31793.78,"(16000, 16000, 150)",1600.0
1,200,Theta*,False,True,10539.66,34404.44,"(16000, 16000, 150)",1600.0
2,200,Theta*,False,True,11791.38,31819.71,"(16000, 16000, 150)",1600.0
2,100,Theta*,False,True,1000.41,13565.96,"(16000, 16000, 150)",1600.0
1,100,Theta*,False,True,1156.95,16463.51,"(16000, 16000, 150)",1600.0
3,100,Theta*,False,True,1247.61,15937.15,"(16000, 16000, 150)",1600.0
4,100,Theta*,False,True,1264.82,12688.48,"(16000, 16000, 150)",1600.0
0,100,Theta*,False,True,1487.97,18371.54,"(16000, 16000, 150)",1600.0
1,50,Theta*,False,True,213.07,9017.74,"(16000, 16000, 150)",1600.0
3,50,Theta*,False,True,218.73,7620.76,"(16000, 16000, 150)",1600.0
2,50,Theta*,False,True,239.11,9180.17,"(16000, 16000, 150)",1600.0
0,50,Theta*,False,True,283.77,11340.18,"(16000, 16000, 150)",1600.0
4,50,Theta*,False,True,307.69,8060.41,"(16000, 16000, 150)",1600.0
0,1,Theta*,False,True,0.26,106.98,"(16000, 16000, 150)",1600.0
1,1,Theta*,False,True,0.27,330.77,"(16000, 16000, 150)",1600.0
2,1,Theta*,False,True,0.32,245.49,"(16000, 16000, 150)",1600.0
4,1,Theta*,False,True,0.33,487.18,"(16000, 16000, 150)",1600.0
3,1,Theta*,False,True,2.26,74.97,"(16000, 16000, 150)",1600.0
4,200,Theta*,False,True,9562.58,60379.04,"(32000, 32000, 150)",3200.0
3,200,Theta*,False,True,11899.87,66872.43,"(32000, 32000, 150)",3200.0
0,200,Theta*,False,True,12599.15,64201.76,"(32000, 32000, 150)",3200.0
1,200,Theta*,False,True,13386.85,71549.01,"(32000, 32000, 150)",3200.0
2,200,Theta*,False,True,14826.23,68986.14,"(32000, 32000, 150)",3200.0
2,100,Theta*,False,True,1187.35,33385.94,"(32000, 32000, 150)",3200.0
1,100,Theta*,False,True,1275.32,33404.45,"(32000, 32000, 150)",3200.0
3,100,Theta*,False,True,1510.94,32691.96,"(32000, 32000, 150)",3200.0
4,100,Theta*,False,True,1664.76,27034.2,"(32000, 32000, 150)",3200.0
0,100,Theta*,False,True,1703.17,34984.19,"(32000, 32000, 150)",3200.0
1,50,Theta*,False,True,272.28,19880.39,"(32000, 32000, 150)",3200.0
3,50,Theta*,False,True,274.54,15263.55,"(32000, 32000, 150)",3200.0
2,50,Theta*,False,True,303.05,19571.13,"(32000, 32000, 150)",3200.0
0,50,Theta*,False,True,348.03,23832.23,"(32000, 32000, 150)",3200.0
4,50,Theta*,False,True,403.51,17167.42,"(32000, 32000, 150)",3200.0
0,1,Theta*,False,True,0.38,213.95,"(32000, 32000, 150)",3200.0
1,1,Theta*,False,True,0.42,661.49,"(32000, 32000, 150)",3200.0
2,1,Theta*,False,True,0.44,490.99,"(32000, 32000, 150)",3200.0
4,1,Theta*,False,True,0.5,974.35,"(32000, 32000, 150)",3200.0
3,1,Theta*,False,True,3.3,148.94,"(32000, 32000, 150)",3200.0
4,200,Theta*,False,True,13162.74,128387.86,"(64000, 64000, 150)",6400.0
0,200,Theta*,False,True,14595.61,131891.99,"(64000, 64000, 150)",6400.0
3,200,Theta*,False,True,15739.35,145414.66,"(64000, 64000, 150)",6400.0
1,200,Theta*,False,True,16319.05,138926.09,"(64000, 64000, 150)",6400.0
2,200,Theta*,False,True,19046.75,146356.04,"(64000, 64000, 150)",6400.0
2,100,Theta*,False,True,1632.72,63543.94,"(64000, 64000, 150)",6400.0
1,100,Theta*,False,True,1687.12,65416.89,"(64000, 64000, 150)",6400.0
